mappingId,sourceItemId,candidateId,workId,mappingType,canonicalTitleJa,confidence,evidenceName,evidenceUrl,evidencePublishedAt,retrievedAt,notes
mapping-4b8a0d017a241eb92f86,mangataisho-2014-207,candidate-9e98119539f60465ce66,work-9e98119539f60465ce66,duplicate,僕らはみんな河合荘,1,マンガ大賞実行委員会 official selection + Rakuten Books exact product match,https://www.mangataisho.com/archives/2014.html,2014,2026-08-22,sourceOfficialUrl=https://www.mangataisho.com/archives/2014.html; rakutenProductUrl=https://books.rakuten.co.jp/rb/11141971/; normalizedTitle=僕らはみんな河合荘; matchedRakutenAuthor=宮原るり; isbn=9784785936310.
mapping-305b66638e3e0ce3ca6a,mangataisho-2015-193,candidate-9e98119539f60465ce66,work-9e98119539f60465ce66,duplicate,僕らはみんな河合荘,1,マンガ大賞実行委員会 official selection + Rakuten Books exact product match,https://www.mangataisho.com/archives/2015.html,2015,2026-08-22,sourceOfficialUrl=https://www.mangataisho.com/archives/2015.html; rakutenProductUrl=https://books.rakuten.co.jp/rb/11141971/; normalizedTitle=僕らはみんな河合荘; matchedRakutenAuthor=宮原るり; isbn=9784785936310.
mapping-2c1268f9db7ca7c71afd,mangataisho-2008-119,candidate-aa6018249b7fe7e92d95,work-aa6018249b7fe7e92d95,included,かよちゃんの荷物,1,マンガ大賞実行委員会 official selection + Rakuten Books exact product match,https://www.mangataisho.com/archives/2008.html,2008,2026-08-22,sourceOfficialUrl=https://www.mangataisho.com/archives/2008.html; rakutenProductUrl=https://books.rakuten.co.jp/rb/4358809/; normalizedTitle=かよちゃんの荷物; matchedRakutenAuthor=雁須磨子; isbn=9784812465752.
mapping-2209d1d40dacc9662dba,mangataisho-2010-190,candidate-aa6018249b7fe7e92d95,work-aa6018249b7fe7e92d95,duplicate,かよちゃんの荷物,1,マンガ大賞実行委員会 official selection + Rakuten Books exact product match,https://www.mangataisho.com/archives/2010.html,2010,2026-08-22,sourceOfficialUrl=https://www.mangataisho.com/archives/2010.html; rakutenProductUrl=https://books.rakuten.co.jp/rb/4358809/; normalizedTitle=かよちゃんの荷物; matchedRakutenAuthor=雁須磨子; isbn=9784812465752.
mapping-1c8414b7620f4623155f,mangataisho-2012-152,candidate-aa6018249b7fe7e92d95,work-aa6018249b7fe7e92d95,duplicate,かよちゃんの荷物,1,マンガ大賞実行委員会 official selection + Rakuten Books exact product match,https://www.mangataisho.com/archives/2012.html,2012,2026-08-22,sourceOfficialUrl=https://www.mangataisho.com/archives/2012.html; rakutenProductUrl=https://books.rakuten.co.jp/rb/4358809/; normalizedTitle=かよちゃんの荷物; matchedRakutenAuthor=雁須磨子; isbn=9784812465752.
mapping-d7519a9007d34ecf9d2b,mangataisho-2012-067,candidate-ab9331f7fed1990f7dc6,work-ab9331f7fed1990f7dc6,included,脳内ポイズンベリー,1,マンガ大賞実行委員会 official selection + Rakuten Books exact product match,https://www.mangataisho.com/archives/2012.html,2012,2026-08-22,sourceOfficialUrl=https://www.mangataisho.com/archives/2012.html; rakutenProductUrl=https://books.rakuten.co.jp/rb/11155006/; normalizedTitle=脳内ぽいずんべりー; matchedRakutenAuthor=水城せとな; isbn=9784088656267.
mapping-2414419793ee4154136c,mangataisho-2013-098,candidate-ab9331f7fed1990f7dc6,work-ab9331f7fed1990f7dc6,duplicate,脳内ポイズンベリー,1,マンガ大賞実行委員会 official selection + Rakuten Books exact product match,https://www.mangataisho.com/archives/2013.html,2013,2026-08-22,sourceOfficialUrl=https://www.mangataisho.com/archives/2013.html; rakutenProductUrl=https://books.rakuten.co.jp/rb/11155006/; normalizedTitle=脳内ぽいずんべりー; matchedRakutenAuthor=水城せとな; isbn=9784088656267.
mapping-e704473a873d6307822b,mangataisho-2014-070,candidate-ab9331f7fed1990f7dc6,work-ab9331f7fed1990f7dc6,duplicate,脳内ポイズンベリー,1,マンガ大賞実行委員会 official selection + Rakuten Books exact product match,https://www.mangataisho.com/archives/2014.html,2014,2026-08-22,sourceOfficialUrl=https://www.mangataisho.com/archives/2014.html; rakutenProductUrl=https://books.rakuten.co.jp/rb/11155006/; normalizedTitle=脳内ぽいずんべりー; matchedRakutenAuthor=水城せとな; isbn=9784088656267.
mapping-d4c56718ca3912f72668,mangataisho-2013-163,candidate-c50ea94bb66f72c679a2,work-c50ea94bb66f72c679a2,included,機械仕掛けの愛,1,マンガ大賞実行委員会 official selection + Rakuten Books exact product match,https://www.mangataisho.com/archives/2013.html,2013,2026-08-22,sourceOfficialUrl=https://www.mangataisho.com/archives/2013.html; rakutenProductUrl=https://books.rakuten.co.jp/rb/11754443/; normalizedTitle=機械仕掛けの愛; matchedRakutenAuthor=業田 良家; isbn=9784091846440; canonicalTitleEvidenceUrl=https://shogakukan-comic.jp/book?isbn=9784091846440.
mapping-b725bbd35a97f77b2c6e,mangataisho-2014-075,candidate-c50ea94bb66f72c679a2,work-c50ea94bb66f72c679a2,duplicate,機械仕掛けの愛,1,マンガ大賞実行委員会 official selection + Rakuten Books exact product match,https://www.mangataisho.com/archives/2014.html,2014,2026-08-22,sourceOfficialUrl=https://www.mangataisho.com/archives/2014.html; rakutenProductUrl=https://books.rakuten.co.jp/rb/11754443/; normalizedTitle=機械仕掛けの愛; matchedRakutenAuthor=業田 良家; isbn=9784091846440; canonicalTitleEvidenceUrl=https://shogakukan-comic.jp/book?isbn=9784091846440.
mapping-8e026245ed10516c0da4,mangataisho-2015-122,candidate-c50ea94bb66f72c679a2,work-c50ea94bb66f72c679a2,duplicate,機械仕掛けの愛,1,マンガ大賞実行委員会 official selection + Rakuten Books exact product match,https://www.mangataisho.com/archives/2015.html,2015,2026-08-22,sourceOfficialUrl=https://www.mangataisho.com/archives/2015.html; rakutenProductUrl=https://books.rakuten.co.jp/rb/11754443/; normalizedTitle=機械仕掛けの愛; matchedRakutenAuthor=業田 良家; isbn=9784091846440; canonicalTitleEvidenceUrl=https://shogakukan-comic.jp/book?isbn=9784091846440.
mapping-8a8c66a738e5827b508b,mangataisho-2008-065,candidate-c7e065f61bb7a176ee56,work-c7e065f61bb7a176ee56,included,臨死!!江古田ちゃん,1,マンガ大賞実行委員会 official selection + Rakuten Books exact product match,https://www.mangataisho.com/archives/2008.html,2008,2026-08-22,sourceOfficialUrl=https://www.mangataisho.com/archives/2008.html; rakutenProductUrl=https://books.rakuten.co.jp/rb/4016940/; normalizedTitle=臨死!!江古田ちゃん; matchedRakutenAuthor=瀧波ユカリ; isbn=9784063144130.
mapping-1727c3fbe0f1b0b40c81,mangataisho-2009-037,candidate-c7e065f61bb7a176ee56,work-c7e065f61bb7a176ee56,duplicate,臨死!!江古田ちゃん,1,マンガ大賞実行委員会 official selection + Rakuten Books exact product match,https://www.mangataisho.com/archives/2009.html,2009,2026-08-22,sourceOfficialUrl=https://www.mangataisho.com/archives/2009.html; rakutenProductUrl=https://books.rakuten.co.jp/rb/4016940/; normalizedTitle=臨死!!江古田ちゃん; matchedRakutenAuthor=瀧波ユカリ; isbn=9784063144130.
mapping-085237a87cb27bd91764,mangataisho-2015-100,candidate-c7e065f61bb7a176ee56,work-c7e065f61bb7a176ee56,duplicate,臨死!!江古田ちゃん,1,マンガ大賞実行委員会 official selection + Rakuten Books exact product match,https://www.mangataisho.com/archives/2015.html,2015,2026-08-22,sourceOfficialUrl=https://www.mangataisho.com/archives/2015.html; rakutenProductUrl=https://books.rakuten.co.jp/rb/4016940/; normalizedTitle=臨死!!江古田ちゃん; matchedRakutenAuthor=瀧波ユカリ; isbn=9784063144130.
mapping-9a14be53da1c727fdfb1,mangataisho-2008-036,candidate-c8243866b7c8a6d9a2f8,work-c8243866b7c8a6d9a2f8,included,町でうわさの天狗の子,1,マンガ大賞実行委員会 official selection + Rakuten Books exact product match,https://www.mangataisho.com/archives/2008.html,2008,2026-08-22,sourceOfficialUrl=https://www.mangataisho.com/archives/2008.html; rakutenProductUrl=https://books.rakuten.co.jp/rb/5237198/; normalizedTitle=町でうわさの天狗の子; matchedRakutenAuthor=岩本ナオ; isbn=9784091313935.
mapping-2b3eca6890613e87c44f,mangataisho-2009-014,candidate-c8243866b7c8a6d9a2f8,work-c8243866b7c8a6d9a2f8,duplicate,町でうわさの天狗の子,1,マンガ大賞実行委員会 official selection + Rakuten Books exact product match,https://www.mangataisho.com/archives/2009.html,2009,2026-08-22,sourceOfficialUrl=https://www.mangataisho.com/archives/2009.html; rakutenProductUrl=https://books.rakuten.co.jp/rb/5237198/; normalizedTitle=町でうわさの天狗の子; matchedRakutenAuthor=岩本ナオ; isbn=9784091313935.
mapping-f2996ebbb5cd0b470d06,shogakukan-manga-award-55-003,candidate-c8243866b7c8a6d9a2f8,work-c8243866b7c8a6d9a2f8,duplicate,町でうわさの天狗の子,1,小学館「小学館漫画賞」 official selection + Rakuten Books exact product match,https://shogakukan-comic.jp/shogakukan-mangasho-archives,2009,2026-08-22,sourceOfficialUrl=https://shogakukan-comic.jp/shogakukan-mangasho-archives; rakutenProductUrl=https://books.rakuten.co.jp/rb/5237198/; normalizedTitle=町でうわさの天狗の子; matchedRakutenAuthor=岩本ナオ; isbn=9784091313935.
mapping-74608d1e0deb49f26039,mangataisho-2008-121,candidate-db4a0ec451d7f4ffd8b8,work-db4a0ec451d7f4ffd8b8,included,万福児,1,マンガ大賞実行委員会 official selection + Rakuten Books exact product match,https://www.mangataisho.com/archives/2008.html,2008,2026-08-22,sourceOfficialUrl=https://www.mangataisho.com/archives/2008.html; rakutenProductUrl=https://books.rakuten.co.jp/rb/4043309/; normalizedTitle=万福児; matchedRakutenAuthor=下吉田本郷; isbn=9784088653457.
mapping-5e2f0e1765b5c637fae4,mangataisho-2009-044,candidate-db4a0ec451d7f4ffd8b8,work-db4a0ec451d7f4ffd8b8,duplicate,万福児,1,マンガ大賞実行委員会 official selection + Rakuten Books exact product match,https://www.mangataisho.com/archives/2009.html,2009,2026-08-22,sourceOfficialUrl=https://www.mangataisho.com/archives/2009.html; rakutenProductUrl=https://books.rakuten.co.jp/rb/4043309/; normalizedTitle=万福児; matchedRakutenAuthor=下吉田本郷; isbn=9784088653457.
mapping-ab1388a1ca50e37634c7,mangataisho-2010-045,candidate-db4a0ec451d7f4ffd8b8,work-db4a0ec451d7f4ffd8b8,duplicate,万福児,1,マンガ大賞実行委員会 official selection + Rakuten Books exact product match,https://www.mangataisho.com/archives/2010.html,2010,2026-08-22,sourceOfficialUrl=https://www.mangataisho.com/archives/2010.html; rakutenProductUrl=https://books.rakuten.co.jp/rb/4043309/; normalizedTitle=万福児; matchedRakutenAuthor=下吉田本郷; isbn=9784088653457.
mapping-6d8fe1f41e1b204b23d1,mangataisho-2013-100,candidate-e658d3aee2e33c17aa38,work-e658d3aee2e33c17aa38,duplicate,スピリットサークル,1,マンガ大賞実行委員会 official selection + Rakuten Books exact product match,https://www.mangataisho.com/archives/2013.html,2013,2026-08-22,sourceOfficialUrl=https://www.mangataisho.com/archives/2013.html; rakutenProductUrl=https://books.rakuten.co.jp/rb/12086390/; normalizedTitle=すぴりっとさーくる; matchedRakutenAuthor=水上悟志; isbn=9784785939830.
mapping-3f80e403bfb0d358bd10,mangataisho-2015-051,candidate-e658d3aee2e33c17aa38,work-e658d3aee2e33c17aa38,duplicate,スピリットサークル,1,マンガ大賞実行委員会 official selection + Rakuten Books exact product match,https://www.mangataisho.com/archives/2015.html,2015,2026-08-22,sourceOfficialUrl=https://www.mangataisho.com/archives/2015.html; rakutenProductUrl=https://books.rakuten.co.jp/rb/12086390/; normalizedTitle=すぴりっとさーくる; matchedRakutenAuthor=水上悟志; isbn=9784785939830.
mapping-9506dd1d5c9d05623314,tsugimanga-2015-comics-032,candidate-e658d3aee2e33c17aa38,work-e658d3aee2e33c17aa38,included,スピリットサークル,1,KADOKAWA「次にくるマンガ大賞」 official selection + Rakuten Books exact product match,https://tsugimanga.jp/winner/2015/comics,2015-02-06,2026-08-22,sourceOfficialUrl=https://tsugimanga.jp/winner/2015/comics; rakutenProductUrl=https://books.rakuten.co.jp/rb/12086390/; normalizedTitle=すぴりっとさーくる; matchedRakutenAuthor=水上悟志; isbn=9784785939830.
mapping-a29cbc29287f55eb82ae,mangataisho-2022-006,candidate-e906b3eaa9ef9eafe23c,work-e906b3eaa9ef9eafe23c,duplicate,トリリオンゲーム,1,マンガ大賞実行委員会 official selection + Rakuten Books exact product match,https://www.mangataisho.com/archives/2022.html,2022,2026-08-22,sourceOfficialUrl=https://www.mangataisho.com/archives/2022.html; rakutenProductUrl=https://books.rakuten.co.jp/rb/16623822/; normalizedTitle=とりりおんげーむ; matchedRakutenAuthor=稲垣 理一郎/池上 遼一; isbn=9784098610105.
